name,stars,forks,monthly_commits,open_issues,closed_issues,resolution_rate,last_updated,created_at,age_days,primary_language,open_pr,closed_pr,merged_pr,avg_merge_time_days
KomaMRI.jl,136,22,7,94,452,0.828,2025-04-22 11:29,2020-04-01,1855,Julia,20,88,213,8.37
DICOM.jl,57,22,0,20,77,0.794,2025-03-29 21:14,2013-03-01,4443,Julia,3,3,55,28.24
BloodFlowTrixi.jl,38,0,3,1,22,0.957,2025-04-16 20:46,2025-01-09,111,Julia,0,2,9,0.05
PubChemCrawler.jl,24,4,0,2,21,0.913,2024-12-18 15:43,2020-11-10,1632,Julia,1,2,13,32.65
Thunderbolt.jl,20,3,9,70,142,0.67,2025-04-26 17:50,2021-04-08,1483,Julia,4,3,104,14.79
BioMedQuery.jl,18,10,0,7,67,0.905,2024-11-16 10:22,2016-05-23,3264,Julia,0,6,40,1.29
ICD_GEMs.jl,17,3,0,0,2,1.0,2024-08-02 04:36,2022-05-19,1077,Julia,0,0,0,
juliahealth.github.io,16,11,0,15,116,0.885,2025-02-10 17:03,2020-04-26,1830,Julia,2,9,102,0.25
MedEye3d.jl,13,2,0,14,14,0.5,2025-01-13 05:48,2021-05-23,1438,Julia,0,1,7,0.43
NeuroAnalyzer.jl,13,1,3,0,16,1.0,2025-04-21 15:16,2024-02-29,426,Julia,0,0,1,0.25
FHIRClient.jl,13,5,0,2,167,0.988,2024-05-12 00:11,2020-07-30,1735,Julia,1,25,134,0.99
ARules.jl,13,5,0,3,14,0.824,2024-05-29 09:37,2017-06-28,2863,Julia,1,1,10,0.66
MedPipe3DTutorial,9,7,0,0,4,1.0,2025-04-09 06:20,2022-03-29,1128,Jupyter Notebook,0,1,1,0.02
OMOPCDMCohortCreator.jl,9,6,0,19,66,0.776,2024-07-07 14:21,2022-06-29,1036,Julia,4,4,32,11.54
PubMedMiner.jl,8,4,0,2,16,0.889,2023-03-10 19:50,2016-05-12,3275,Jupyter Notebook,0,2,8,0.01
MedPipe3D.jl,8,1,3,16,3,0.158,2025-04-16 10:52,2022-03-29,1128,Julia,1,0,3,0.02
PharmaceuticalClassification.jl,6,1,0,1,16,0.941,2024-10-26 01:17,2020-08-22,1712,Julia,0,2,13,0.04
DICOMTree.jl,6,0,0,1,1,0.5,2024-06-25 19:40,2023-08-13,626,Julia,0,0,0,
CTakesParser.jl,6,1,0,1,8,0.889,2022-09-26 19:37,2017-06-06,2885,Julia,0,1,3,0.05
OMOPCommonDataModel.jl,6,2,0,3,36,0.923,2024-09-03 17:04,2020-07-29,1736,Julia,1,2,33,0.02
HealthBase.jl,6,1,0,2,23,0.92,2025-02-01 18:03,2020-05-02,1824,Julia,1,0,22,0.01
JuliaHealthBlog,5,8,1,12,25,0.676,2025-04-24 16:34,2024-06-17,317,JavaScript,7,8,15,10.58
OMOPCDMPredictor,4,2,0,0,0,0.0,2023-03-20 06:09,2023-03-20,772,,0,0,0,
MedImages.jl,4,2,0,4,33,0.892,2025-02-23 20:30,2023-11-01,546,Julia,1,7,22,0.24
MedEval3D.jl,4,4,6,2,16,0.889,2025-04-28 05:05,2021-08-03,1366,Julia,1,1,14,1.55
CAOS.jl,3,1,0,0,22,1.0,2021-05-17 16:17,2018-05-15,2542,Julia,0,3,12,0.07
OMOPCDMPathways.jl,3,1,0,12,58,0.829,2024-06-12 16:03,2023-12-28,489,Julia,8,18,31,12.79
JuliaHealthLLM,3,0,11,1,0,0.0,2025-04-27 13:54,2024-01-11,475,HTML,1,0,0,
OHDSIAPI.jl,2,2,1,4,3,0.429,2025-04-26 18:08,2023-01-24,827,JavaScript,3,0,2,2.09
HealthSampleData.jl,2,2,0,6,5,0.455,2023-10-29 19:50,2022-07-29,1006,Julia,0,0,2,0.67
SMARTAppLaunch.jl,2,2,0,1,74,0.987,2024-08-05 15:05,2021-02-10,1540,Julia,0,5,67,0.27
ObservationalHealthSubecosystemPaper,2,0,0,0,0,0.0,2024-01-02 18:57,2022-10-06,937,TeX,0,0,0,
