repo_name,github_repo_url,is_archived,has_license,license_type,pushed_at,stars,open_issues_count,closed_issues_count,issue_resolution_rate,open_prs_count,closed_prs_count,pr_resolution_rate,readme_has_code_blocks,readme_line_count,readme_has_install,readme_has_usage,readme_has_contributing,readme_lists_count,readme_links_count,readme_code_blocks_count,readme_badges_count,readme_sections_count,readme_completeness_score,human_contributors_list,human_contributors_count,bot_contributors_list,bot_contributors_count,maintainers_list,maintainers_count,active_maintainers_list,active_maintainers_count,has_active_maintainers,maintenance_status,has_ci_workflow,avg_pr_merge_days,days_since_last_activity
EpiJ,https://github.com/JuliaHealth/EpiJ,false,true,MIT,2022-01-27T21:41:16Z,2,0,0,0.0,0,0,0.0,false,10,false,false,false,0,8,0,4,1,2,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,true,,1694.3619615856483
JuliaHealth2026BountyProgram,https://github.com/JuliaHealth/JuliaHealth2026BountyProgram,false,false,Unknown,2026-09-11T21:13:01Z,0,7,0,0.0,0,0,0.0,false,29,false,false,false,10,1,0,0,2,1,cncastillo,1,,0,cncastillo,1,cncastillo,1,true,Concept,false,,4.2843032291666665
JuliaHealthAudit,https://github.com/JuliaHealth/JuliaHealthAudit,false,true,MIT,2026-09-16T13:54:16Z,3,0,0,0.0,0,0,0.0,true,118,false,false,true,19,2,5,0,6,4,kosuri-indu,1,github-actions[bot],1,kosuri-indu,1,kosuri-indu,1,true,Concept,true,,29.917810231481482
JuliaHealthEcosystemPaper,https://github.com/JuliaHealth/JuliaHealthEcosystemPaper,false,false,MIT,2026-03-09T20:51:19Z,3,0,0,0.0,0,1,100.0,false,50,false,true,false,19,3,0,0,5,3,TheCedarPrince; kosuri-indu,2,,0,TheCedarPrince; kosuri-indu,2,,0,false,Concept,false,0.4679976851851852,190.7202683101852
JuliaHealthLLM,https://github.com/JuliaHealth/JuliaHealthLLM,false,true,MIT,2026-07-04T02:25:13Z,5,3,0,0.0,36,4,10.0,true,46,false,false,false,2,13,2,5,2,3,ParamThakkar123; TheCedarPrince,2,,0,ParamThakkar123; TheCedarPrince,2,,0,false,Concept,true,16.26323302469136,335.1905503935185
JuliaHealthWebsiteOld,https://github.com/JuliaHealth/JuliaHealthWebsiteOld,false,false,Unknown,2025-05-16T20:11:29Z,14,11,7,38.9,2,111,98.2,false,9,false,false,false,0,3,0,0,0,0,DilumAluthge; TheCedarPrince; pitmonticone; ChrisRackauckas; Hetarth02; logankilpatrick,6,,0,Hetarth02; TheCedarPrince,2,,0,false,Concept,true,0.24758986928104576,487.748468912037
JuliaHealthZoo,https://github.com/JuliaHealth/JuliaHealthZoo,false,true,MIT,2026-04-08T08:52:28Z,1,3,0,0.0,0,3,100.0,false,4,false,false,false,0,0,0,0,0,0,kosuri-indu,1,,0,kosuri-indu,1,kosuri-indu,1,true,Concept,true,0.0005555555555555556,161.2209902314815
JuliaLifeSciences,https://github.com/JuliaHealth/JuliaLifeSciences,false,false,Unknown,2026-09-13T06:41:03Z,0,2,0,0.0,6,8,57.1,true,34,false,false,false,6,0,1,0,2,1,cncastillo; jeleclaire,2,dependabot[bot],1,cncastillo; jeleclaire,2,cncastillo; jeleclaire,2,true,Concept,true,0.02642216435185185,3.3102999189814817
KomaMRIPhantoms,https://github.com/JuliaHealth/KomaMRIPhantoms,false,true,MIT,2026-09-09T23:26:25Z,1,0,1,100.0,3,3,50.0,true,56,false,false,false,6,1,2,0,4,3,cncastillo; KookiesNKareem,2,dependabot[bot],1,KookiesNKareem; cncastillo,2,KookiesNKareem; cncastillo,2,true,Concept,true,0.007581018518518519,6.6122986458333335
MedPipe3DTutorial,https://github.com/JuliaHealth/MedPipe3DTutorial,false,false,Unknown,2024-03-12T18:16:23Z,9,0,2,100.0,0,2,100.0,true,571,false,false,false,0,7,17,0,1,2,jakubMitura14,1,,0,jakubMitura14,1,,0,false,Concept,false,0.0178125,917.8276260879629
OMOPCDMMetrics,https://github.com/JuliaHealth/OMOPCDMMetrics,false,true,MIT,2024-08-22T02:01:27Z,1,0,0,0.0,5,0,0.0,false,12,false,false,false,0,10,0,5,1,2,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,true,,936.7027026504629
OMOPCDMPredictor,https://github.com/JuliaHealth/OMOPCDMPredictor,false,true,MIT,2023-03-20T00:22:57Z,4,0,0,0.0,0,0,0.0,false,9,false,false,false,1,1,0,0,0,0,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,false,,1276.5732444791668
ObservationalHealthSubecosystemPaper,https://github.com/JuliaHealth/ObservationalHealthSubecosystemPaper,false,false,Unknown,2024-01-17T06:07:31Z,2,0,0,0.0,0,0,0.0,false,0,false,false,false,0,0,0,0,0,0,TheCedarPrince,1,,0,TheCedarPrince,1,,0,false,Concept,false,,973.3378504861112
juliahealth.github.io,https://github.com/JuliaHealth/juliahealth.github.io,false,false,Unknown,2026-08-31T16:30:06Z,6,11,15,57.7,2,58,96.7,true,62,false,false,true,5,3,1,1,1,3,divingdiv; TheCedarPrince; kosuri-indu; Hetarth02; Jay-sanjay; anvika-singhal; BhavyaQuantDeveloper; JanZubik; 00krishna; MichelaRocchetti; Mounika-Thakkallapally; rkierulf,12,github-actions[bot]; allcontributors[bot],2,Hetarth02; divingdiv; kosuri-indu,3,kosuri-indu,1,true,Concept,true,13.948239872685189,15.901756898148149
juliahealth.github.io-previews,https://github.com/JuliaHealth/juliahealth.github.io-previews,false,false,Unknown,2024-03-25T19:02:23Z,0,0,0,0.0,0,1,100.0,false,2,false,false,false,0,1,0,0,0,0,DilumAluthge,1,,0,DilumAluthge,1,,0,false,Concept,false,5.787037037037037e-5,2328.2557012847224
komamripy,https://github.com/JuliaHealth/komamripy,false,true,MIT,2026-08-30T02:09:01Z,9,0,1,100.0,0,26,100.0,true,70,true,true,false,0,12,3,4,4,6,anvika-singhal; cncastillo,2,dependabot[bot],1,anvika-singhal; cncastillo,2,anvika-singhal; cncastillo,2,true,Concept,true,0.6014930555555557,14.749681782407407
